Edge TPU Compiler version 15.0.340273435
Input: mask_detector_model_new.tflite
Output: mask_detector_model_new_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       2          Mapped to Edge TPU
AVERAGE_POOL_2D                1          Mapped to Edge TPU
DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
FULLY_CONNECTED                2          Mapped to Edge TPU
PAD                            5          Mapped to Edge TPU
RESHAPE                        1          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
CONV_2D                        35         Mapped to Edge TPU
